주차,Day,오전 (2시간),오후 (2시간),완료여부(오전),완료여부(오후)
1주차,Day 1,ch00 환경 구축,ch01 Hello Go + ch02 변수(전반),☐,☐
1주차,Day 2,ch02 변수(후반) + 연습문제,ch03 fmt 패키지,☐,☐
1주차,Day 3,ch04 연산자,ch05 함수,☐,☐
1주차,Day 4,ch06 상수 + ch07 if문,ch08 switch문,☐,☐
1주차,Day 5,ch09 for문,ch10 배열,☐,☐
1주차,Day 6,ch11 구조체 + ch12 포인터,ch13 문자열 + ch14 패키지,☐,☐
1주차,Day 7,ch15 숫자맞추기 게임,1단계 복습 + 구현과제,☐,☐
2주차,Day 8,ch16 슬라이스(전반),ch16 슬라이스(후반) + 연습문제,☐,☐
2주차,Day 9,ch17 메서드,ch18 인터페이스(전반),☐,☐
2주차,Day 10,ch18 인터페이스(후반),ch19 함수 고급편,☐,☐
2주차,Day 11,"ch20 자료구조(리스트, 링)",ch20 자료구조(맵) + 연습문제,☐,☐
2주차,Day 12,ch21 에러 핸들링,ch22 고루틴(전반),☐,☐
2주차,Day 13,ch22 고루틴(후반),ch23 채널과 컨텍스트,☐,☐
2주차,Day 14,ch24 제네릭,2단계 복습 + 구현과제,☐,☐
3주차,Day 15,ch25 단어 검색 프로그램(기본),ch25 단어 검색 프로그램(고루틴 버전),☐,☐
3주차,Day 16,GO_CODING_STANDARDS.md 전체,noteA Go 문법 보충,☐,☐
3주차,Day 17,ch26 테스트와 벤치마크,ch27 프로파일링,☐,☐
3주차,Day 18,ch28 HTTP 웹 서버(전반),ch28 HTTP 웹 서버(후반),☐,☐
3주차,Day 19,ch29 RESTful API(전반),ch29 RESTful API(후반),☐,☐
3주차,Day 20,1-2단계 프로젝트 과제,서버 구현과제,☐,☐
3주차,Day 21,3주차 복습,부족한 부분 보충,☐,☐
4주차,Day 22,ch30 TCP 에코 서버,ch30 채팅 서버,☐,☐
4주차,Day 23,ch30 gRPC 채팅,noteB 생각하는 프로그래밍,☐,☐
4주차,Day 24,3단계 전체 복습,최종 프로젝트 과제(전반),☐,☐
4주차,Day 25,최종 프로젝트 과제(후반),코드 리뷰 + 리팩토링,☐,☐
4주차,Day 26,전체 복습(1단계),전체 복습(2단계),☐,☐
4주차,Day 27,전체 복습(3단계),미완성 과제 마무리,☐,☐
4주차,Day 28,학습 정리 + 회고,다음 학습 계획 수립,☐,☐
