주차,Day,요일,학습 챕터,소요시간(분),세부 활동,완료여부
1주차,Day 1,월,ch00_setup,120,"[40분] ch00 README 정독 - Docker 환경 구조와 동작 원리 이해, [40분] Docker 셋업 - docker-compose up으로 환경 구동, [20분] Hello World 작성 및 실행 - go run/go build 차이 확인, [20분] Makefile 명령어 실습",☐
1주차,Day 2,화,"ch01_hello_go, ch02_variables(전반)",120,"[30분] ch01 README - Go 역사/설계 철학/특징 파악, [20분] ch01 예시 코드 타이핑 - package/import/func main 이해, [10분] ch01 연습문제, [30분] ch02 README 전반 - var/:=/기본 타입 학습, [30분] ch02 예시 코드 전반 타이핑",☐
1주차,Day 3,수,ch02_variables(후반),120,"[30분] ch02 README 후반 - 타입 변환/스코프/제로값, [30분] 타입 변환 예시 코드 타이핑 - int↔float64/string↔[]byte, [30분] ch02 연습문제 전체 풀기, [30분] 변수 실험 - 미사용 변수 에러/재선언 동작 확인",☐
1주차,Day 4,목,ch03_fmt,120,"[30분] ch03 README - Println/Printf/Sprintf/Scanf 학습, [30분] 서식 지정자 실험 - %d/%f/%s/%v/%T, [30분] Scanf 사용자 입력 처리 실습, [30분] ch03 연습문제 + 서식 조합 실험",☐
1주차,Day 5,금,ch04_operators,120,"[30분] ch04 README - 산술/비교/논리/비트/대입 연산자, [40분] 연산자 카테고리별 예시 코드 타이핑, [20분] 연산자 우선순위 정리, [30분] ch04 연습문제",☐
1주차,Day 6,토,ch05_functions,120,"[30분] ch05 README - 함수 선언/매개변수/반환값/다중반환, [40분] 예시 코드 타이핑 - 다중 반환값/named return 주목, [20분] 가변 인자 함수(...) 실습, [30분] ch05 연습문제 + 유틸리티 함수 직접 구현",☐
1주차,Day 7,일,ch01-ch05 복습,120,"[30분] ch01-ch05 핵심 개념 노트 정리 - 챕터별 중요 3가지, [60분] ch01-ch05 구현과제 도전, [30분] 어려웠던 부분 정리 + 다음 주 준비",☐
2주차,Day 8,월,"ch06_constants, ch07_if",120,"[20분] ch06 README - const/iota/타입 없는 상수, [20분] ch06 예시 코드 + iota 동작 실험, [10분] ch06 연습문제, [30분] ch07 README - if/else if/else/초기문 if, [25분] ch07 예시 코드 - 초기문 변수 스코프 주의, [15분] ch07 연습문제",☐
2주차,Day 9,화,ch08_switch,120,"[30분] ch08 README - 자동 break/fallthrough/다양한 switch 형태, [40분] 예시 코드 - 값 기반/조건 기반/타입 switch, [20분] fallthrough 동작 실험, [30분] ch08 연습문제",☐
2주차,Day 10,수,ch09_for,120,"[30분] ch09 README - for만 존재/기본/조건/무한/range, [40분] 예시 코드 - break/continue/레이블 실습, [20분] range로 문자열/배열 순회 실험, [30분] ch09 연습문제 - 구구단/별찍기",☐
2주차,Day 11,목,ch10_array,120,"[30분] ch10 README - 배열 선언/초기화/고정크기/다차원, [40분] 예시 코드 - for range 활용, [20분] 배열 값 타입 확인 실험 - 함수 전달 시 복사, [30분] ch10 연습문제",☐
2주차,Day 12,금,ch11_struct,120,"[30분] ch11 README - 구조체 정의/초기화/임베딩, [40분] 예시 코드 - 다양한 초기화 방법, [20분] 구조체 비교/포인터/익명 구조체 실습, [30분] ch11 연습문제 - 실생활 데이터 모델링",☐
2주차,Day 13,토,ch12_pointer,120,"[30분] ch12 README - &/*연산자/nil 포인터, [40분] 예시 코드 - 값 전달 vs 포인터 전달, [20분] 구조체 포인터 편의 문법 실험, [30분] ch12 연습문제 - 포인터로 외부 변수 수정",☐
2주차,Day 14,일,ch06-ch12 복습,120,"[30분] ch06-ch12 핵심 개념 정리 - 포인터+구조체 관계 집중, [60분] ch06-ch12 구현과제 도전, [30분] 구조체+포인터+제어문 조합 프로그램 구현",☐
