주차,Day,요일,학습 내용 (1시간),완료여부
1주차,Day 1,월,ch00 환경 구축 (Docker 셋업),☐
1주차,Day 2,화,"ch00 환경 구축 (첫 실행, Makefile 학습)",☐
1주차,Day 3,수,ch01 Hello Go (README + 예시 코드),☐
1주차,Day 4,목,"ch02 변수 (전반: 선언, 기본 타입)",☐
1주차,Day 5,금,"ch02 변수 (후반: 타입변환, 스코프)",☐
1주차,Day 6,토,ch02 연습문제 풀기,☐
1주차,Day 7,일,1주차 복습,☐
2주차,Day 8,월,ch03 fmt 패키지 (README + 예시 전반),☐
2주차,Day 9,화,ch03 fmt 패키지 (예시 후반 + 연습문제),☐
2주차,Day 10,수,ch04 연산자 (README + 예시 전반),☐
2주차,Day 11,목,ch04 연산자 (예시 후반 + 연습문제),☐
2주차,Day 12,금,ch05 함수 (README + 예시 전반),☐
2주차,Day 13,토,ch05 함수 (예시 후반 + 연습문제),☐
2주차,Day 14,일,2주차 복습 + ch01-05 구현과제,☐
3주차,Day 15,월,ch06 상수 (전체),☐
3주차,Day 16,화,ch07 if문 (README + 예시),☐
3주차,Day 17,수,ch07 if문 (연습문제),☐
3주차,Day 18,목,ch08 switch문 (README + 예시 전반),☐
3주차,Day 19,금,ch08 switch문 (예시 후반 + 연습문제),☐
3주차,Day 20,토,ch09 for문 (README + 예시 전반),☐
3주차,Day 21,일,ch09 for문 (예시 후반 + 연습문제),☐
4주차,Day 22,월,ch10 배열 (README + 예시),☐
4주차,Day 23,화,ch10 배열 (연습문제),☐
4주차,Day 24,수,ch11 구조체 (README + 예시 전반),☐
4주차,Day 25,목,ch11 구조체 (예시 후반 + 연습문제),☐
4주차,Day 26,금,ch12 포인터 (README + 예시 전반),☐
4주차,Day 27,토,ch12 포인터 (예시 후반 + 연습문제),☐
4주차,Day 28,일,3-4주차 복습 + ch06-12 구현과제,☐
5주차,Day 29,월,ch13 문자열 (README + 예시 전반),☐
5주차,Day 30,화,ch13 문자열 (예시 후반 + 연습문제),☐
5주차,Day 31,수,ch14 패키지 (README + 예시),☐
5주차,Day 32,목,ch14 패키지 (연습문제),☐
5주차,Day 33,금,"ch15 숫자맞추기 게임 (전반: 설계 + 기본 구현)",☐
5주차,Day 34,토,"ch15 숫자맞추기 게임 (후반: 완성 + 리팩토링)",☐
5주차,Day 35,일,1단계 전체 복습,☐
6주차,Day 36,월,GO_CODING_STANDARDS.md 1-4장,☐
6주차,Day 37,화,GO_CODING_STANDARDS.md 5-8장,☐
6주차,Day 38,수,1단계 프로젝트 과제 + 부족한 부분 보충,☐
6주차,Day 39,목,"ch16 슬라이스 (기본 개념, make, append)",☐
6주차,Day 40,금,"ch16 슬라이스 (내부 구조, 용량)",☐
6주차,Day 41,토,"ch16 슬라이스 (슬라이싱, copy, 정렬)",☐
6주차,Day 42,일,ch16 슬라이스 (연습문제),☐
7주차,Day 43,월,ch17 메서드 (README + 예시 전반),☐
7주차,Day 44,화,ch17 메서드 (예시 후반 + 연습문제),☐
7주차,Day 45,수,"ch18 인터페이스 (기본 개념, 덕타이핑)",☐
7주차,Day 46,목,ch18 인터페이스 (암시적 구현 실습),☐
7주차,Day 47,금,"ch18 인터페이스 (타입 어서션, 타입 스위치)",☐
7주차,Day 48,토,ch18 인터페이스 (연습문제),☐
7주차,Day 49,일,"ch19 함수 고급편 (클로저, defer) + 복습",☐
8주차,Day 50,월,"ch20 자료구조 (리스트, 링)",☐
8주차,Day 51,화,ch20 자료구조 (맵),☐
8주차,Day 52,수,ch20 연습문제,☐
8주차,Day 53,목,ch21 에러 핸들링 (README + 예시 전반),☐
8주차,Day 54,금,ch21 에러 핸들링 (예시 후반 + 연습문제),☐
8주차,Day 55,토,ch16-ch21 구현과제,☐
8주차,Day 56,일,6-8주차 복습,☐
9주차,Day 57,월,"ch22 고루틴 (기본 개념, go 키워드)",☐
9주차,Day 58,화,ch22 고루틴 (WaitGroup),☐
9주차,Day 59,수,"ch22 고루틴 (레이스 컨디션, Mutex)",☐
9주차,Day 60,목,ch22 고루틴 (데드락 + 연습문제),☐
9주차,Day 61,금,"ch23 채널 (기본 개념, 버퍼/언버퍼)",☐
9주차,Day 62,토,"ch23 채널 (select, context) + 연습문제",☐
9주차,Day 63,일,ch24 제네릭 + 동시성 구현과제,☐
10주차,Day 64,월,ch25 단어 검색 프로그램 (설계 + 기본 구현 시작),☐
10주차,Day 65,화,ch25 단어 검색 프로그램 (기본 버전 완성),☐
10주차,Day 66,수,ch25 단어 검색 프로그램 (고루틴 버전),☐
10주차,Day 67,목,GO_CODING_STANDARDS.md 9-12장,☐
10주차,Day 68,금,GO_CODING_STANDARDS.md 13-16장,☐
10주차,Day 69,토,noteA Go 문법 보충 수업,☐
10주차,Day 70,일,2단계 전체 복습 + 프로젝트 과제,☐
11주차,Day 71,월,ch26 테스트와 벤치마크 (README + 예시 전반),☐
11주차,Day 72,화,ch26 테스트와 벤치마크 (예시 후반 + 연습문제),☐
11주차,Day 73,수,ch27 프로파일링,☐
11주차,Day 74,목,"ch28 HTTP 웹 서버 (기본, 쿼리, ServeMux)",☐
11주차,Day 75,금,"ch28 HTTP 웹 서버 (JSON, HTTPS, 테스트)",☐
11주차,Day 76,토,"ch29 RESTful API (설계, 구현)",☐
11주차,Day 77,일,"ch29 RESTful API (테스트, Gin) + 서버 구현과제",☐
12주차,Day 78,월,ch30 TCP 에코 서버/클라이언트,☐
12주차,Day 79,화,ch30 채팅 서버 구현,☐
12주차,Day 80,수,ch30 gRPC 채팅 구현,☐
12주차,Day 81,목,noteB 생각하는 프로그래밍,☐
12주차,Day 82,금,3단계 전체 복습 + 구현과제,☐
12주차,Day 83,토,최종 프로젝트 과제 도전,☐
12주차,Day 84,일,전체 복습 + 학습 정리 + 다음 단계 계획,☐
